iter	MultiClass
0	1.081770426
1	1.067100526
2	1.05288637
3	1.04171072
4	1.03003683
5	1.020870215
6	1.011581115
7	1.004211032
8	0.9951510908
9	0.9871490762
10	0.9805084204
11	0.9768436159
12	0.9709193056
13	0.965186721
14	0.9605886638
15	0.9561977581
16	0.9506049466
17	0.948160859
18	0.9434764999
19	0.9393981733
20	0.9359534694
21	0.9314186287
22	0.927562859
23	0.9245751007
24	0.9216519403
25	0.9180573322
26	0.9158085953
27	0.9136456399
28	0.9116825087
29	0.9083019402
30	0.9067655698
31	0.9037189869
32	0.9013662778
33	0.8994752037
34	0.8968567487
35	0.8954411928
36	0.8943554734
37	0.8922519559
38	0.8902302666
39	0.8889594025
40	0.8882201189
41	0.8869325469
42	0.8859674101
43	0.8844852521
44	0.8832080232
45	0.8816834671
46	0.8804919607
47	0.8792135502
48	0.8779648967
49	0.8770869978
50	0.8756004885
51	0.8745115975
52	0.8732777116
53	0.8724629767
54	0.8718849689
55	0.8710164598
56	0.8698941259
57	0.8686376912
58	0.8676911569
59	0.8670229606
60	0.8662298604
61	0.865762783
62	0.8649694884
63	0.8639209277
64	0.8630499753
65	0.8622411278
66	0.8615278077
67	0.8609377716
68	0.8599380653
69	0.8591506536
70	0.8579532353
71	0.8574275746
72	0.856827662
73	0.8556522283
74	0.8546070344
75	0.8539643138
76	0.8529837769
77	0.8522813658
78	0.8509435922
79	0.8504274478
80	0.849638115
81	0.8485406201
82	0.8474542269
83	0.8464982402
84	0.8454493332
85	0.8444187439
86	0.8440311474
87	0.8433469318
88	0.8429086731
89	0.8421795839
90	0.8416920953
91	0.8407170074
92	0.8401240466
93	0.8395721479
94	0.8391159032
95	0.8382970514
96	0.8378300937
97	0.8369784825
98	0.8365582344
99	0.8359191754
100	0.8354418389
101	0.8346406435
102	0.8338592957
103	0.8331916937
104	0.8325925161
105	0.8319624027
106	0.8313508948
107	0.8309645327
108	0.8303119968
109	0.8297684549
110	0.829282724
111	0.8290899136
112	0.8284360081
113	0.8275833504
114	0.827017897
115	0.8266202684
116	0.8263719676
117	0.8259682983
118	0.8254096564
119	0.8247950621
120	0.82439581
121	0.8236839596
122	0.8234727232
123	0.82302582
124	0.8225636988
125	0.8220178793
126	0.8217103917
127	0.8214601184
128	0.8209720569
